protocol,horizon,sim_seed,seed,val_acc,full_acc,val_majority,full_majority,overlap_fraction,n_train,n_val
chronological,10,1,17,0.36670071501532175,0.6211408709875281,0.37589376915219613,0.3931711306481292,0.11133810010214505,3912,979
chronological,10,1,18,0.3350357507660878,0.595992639542016,0.37589376915219613,0.3931711306481292,0.11133810010214505,3912,979
chronological,10,1,19,0.31562819203268644,0.6021263545287262,0.37589376915219613,0.3931711306481292,0.11133810010214505,3912,979
chronological,10,2,0,0.4136874361593463,0.6074422408505418,0.4371807967313585,0.4003271314659579,0.11133810010214505,3912,979
chronological,10,2,1,0.37895812053115424,0.6150071560008178,0.4371807967313585,0.4003271314659579,0.11133810010214505,3912,979
chronological,10,2,2,0.3432073544433095,0.6070333265180945,0.4371807967313585,0.4003271314659579,0.11133810010214505,3912,979
chronological,10,2,3,0.33707865168539325,0.6162338989981598,0.4371807967313585,0.4003271314659579,0.11133810010214505,3912,979
chronological,10,2,4,0.3564862104187947,0.6301369863013698,0.4371807967313585,0.4003271314659579,0.11133810010214505,3912,979
chronological,10,2,5,0.31971399387129723,0.6084645266816602,0.4371807967313585,0.4003271314659579,0.11133810010214505,3912,979
chronological,10,2,6,0.33401430030643514,0.6272745859742384,0.4371807967313585,0.4003271314659579,0.11133810010214505,3912,979
chronological,10,2,7,0.3769152196118488,0.6260478429768963,0.4371807967313585,0.4003271314659579,0.11133810010214505,3912,979
chronological,10,2,8,0.3391215526046987,0.6027397260273972,0.4371807967313585,0.4003271314659579,0.11133810010214505,3912,979
chronological,10,2,9,0.2982635342185904,0.5714577795951749,0.4371807967313585,0.4003271314659579,0.11133810010214505,3912,979
chronological,10,2,10,0.30745658835546474,0.5869965242281742,0.4371807967313585,0.4003271314659579,0.11133810010214505,3912,979
chronological,10,2,11,0.4484167517875383,0.5949703537108976,0.4371807967313585,0.4003271314659579,0.11133810010214505,3912,979
chronological,10,2,12,0.3983656792645557,0.6127581271723573,0.4371807967313585,0.4003271314659579,0.11133810010214505,3912,979
chronological,10,2,13,0.3350357507660878,0.5714577795951749,0.4371807967313585,0.4003271314659579,0.11133810010214505,3912,979
chronological,10,2,14,0.36363636363636365,0.5753424657534246,0.4371807967313585,0.4003271314659579,0.11133810010214505,3912,979
chronological,10,2,15,0.32788559754851887,0.6258433858106727,0.4371807967313585,0.4003271314659579,0.11133810010214505,3912,979
chronological,10,2,16,0.3391215526046987,0.5927213248824371,0.4371807967313585,0.4003271314659579,0.11133810010214505,3912,979
chronological,10,2,17,0.3319713993871297,0.5178900020445717,0.4371807967313585,0.4003271314659579,0.11133810010214505,3912,979
