sim_seed,protocol,horizon,split_seed,n_train,n_val,val_majority,oracle_twin_acc,knn1_acc,analytic_ceiling
1,random_split,5,13,3916,980,0.513265306122449,0.6969387755102041,0.3979591836734694,0.689601994186341
1,random_split,5,14,3916,980,0.5326530612244897,0.6877551020408164,0.4142857142857143,0.689601994186341
1,random_split,5,15,3916,980,0.5540816326530612,0.6877551020408164,0.39693877551020407,0.689601994186341
1,random_split,5,16,3916,980,0.5459183673469388,0.7030612244897959,0.386734693877551,0.689601994186341
1,random_split,5,17,3916,980,0.536734693877551,0.6724489795918367,0.3806122448979592,0.689601994186341
1,random_split,5,18,3916,980,0.5275510204081633,0.676530612244898,0.39081632653061227,0.689601994186341
1,random_split,5,19,3916,980,0.5540816326530612,0.6663265306122449,0.386734693877551,0.689601994186341
1,chronological,5,0,3916,980,0.5336734693877551,0.20408163265306123,0.39693877551020407,0.689601994186341
1,purged_embargoed,5,0,3812,975,0.5323076923076923,0.2635897435897436,0.39794871794871794,0.689601994186341
1,random_split,10,0,3912,979,0.38202247191011235,0.7334014300306435,0.34933605720122574,0.7478695885761109
1,random_split,10,1,3912,979,0.39325842696629215,0.7487231869254342,0.35137895812053116,0.7478695885761109
1,random_split,10,2,3912,979,0.3738508682328907,0.7446373850868233,0.3237997957099081,0.7478695885761109
1,random_split,10,3,3912,979,0.3922369765066394,0.7681307456588355,0.33094994892747703,0.7478695885761109
1,random_split,10,4,3912,979,0.3687436159346272,0.7528089887640449,0.3421859039836568,0.7478695885761109
1,random_split,10,5,3912,979,0.39121552604698673,0.7201225740551583,0.3115423901940756,0.7478695885761109
1,random_split,10,6,3912,979,0.4065372829417773,0.7558733401430031,0.3319713993871297,0.7478695885761109
1,random_split,10,7,3912,979,0.37793667007150156,0.7334014300306435,0.3432073544433095,0.7478695885761109
1,random_split,10,8,3912,979,0.39325842696629215,0.7119509703779366,0.36057201225740554,0.7478695885761109
1,random_split,10,9,3912,979,0.3871297242083759,0.7272727272727273,0.3289070480081716,0.7478695885761109
1,random_split,10,10,3912,979,0.41062308478038817,0.7374872318692544,0.34627170582226763,0.7478695885761109
1,random_split,10,11,3912,979,0.39938712972420837,0.7487231869254342,0.35444330949948927,0.7478695885761109
1,random_split,10,12,3912,979,0.3891726251276813,0.7221654749744637,0.36057201225740554,0.7478695885761109
1,random_split,10,13,3912,979,0.3748723186925434,0.7558733401430031,0.3421859039836568,0.7478695885761109
1,random_split,10,14,3912,979,0.3861082737487232,0.7671092951991828,0.3626149131767109,0.7478695885761109
1,random_split,10,15,3912,979,0.37793667007150156,0.745658835546476,0.3534218590398366,0.7478695885761109
1,random_split,10,16,3912,979,0.3881511746680286,0.7272727272727273,0.35444330949948927,0.7478695885761109
1,random_split,10,17,3912,979,0.39325842696629215,0.7568947906026557,0.3391215526046987,0.7478695885761109
1,random_split,10,18,3912,979,0.40858018386108275,0.7711950970377937,0.3503575076608784,0.7478695885761109
1,random_split,10,19,3912,979,0.39427987742594484,0.7405515832482125,0.3391215526046987,0.7478695885761109
1,chronological,10,0,3912,979,0.37589376915219613,0.2931562819203269,0.3258426966292135,0.7478695885761109
1,purged_embargoed,10,0,3803,969,0.3797729618163055,0.33436532507739936,0.32507739938080493,0.7478695885761109
1,random_split,20,0,3904,977,0.3705220061412487,0.8208802456499488,0.32753326509723646,0.8093078919469551
1,random_split,20,1,3904,977,0.3766632548618219,0.8116683725690891,0.3172978505629478,0.8093078919469551
1,random_split,20,2,3904,977,0.3971340839303992,0.8178096212896623,0.34493346980552714,0.8093078919469551
1,random_split,20,3,3904,977,0.37563971340839303,0.8116683725690891,0.33265097236438074,0.8093078919469551
1,random_split,20,4,3904,977,0.3797338792221085,0.8280450358239508,0.33776867963152507,0.8093078919469551
